date,SPY,AMZN,JPM,PFE,TSLA,WMT,BA,PEP,MRO,DPZ,SPY
2017-12-21,-0.033808,-0.005462815,-0.003530186,-0.00276312,-0.01966997,0.001528438,0.000237024,0.002870818,-0.00883635,0.023502274,-0.03380833
2017-12-22,0.024611,0.007163877,-0.004010016,0.001935181,-0.024624211,0.009626834,0.000880648,0.002442344,0.021077723,-0.013046759,0.024611182
2017-12-26,0.025657,0.004662928,0.001867216,0.003308473,-0.017967523,0.001007604,0.000879983,0.00344248,-0.014590063,0.001049947,0.025657073
2017-12-27,0.014018,0.00324277,0.005302042,0.001100328,0.011866168,0.001409534,0.002466322,0.000419023,0.003521187,-0.003100862,0.014018057
2017-12-28,0.015358,-0.014119976,-0.007916977,-0.004132573,-0.012797146,-0.006560786,-0.004870982,0.004764534,-0.008235369,-0.005383497,0.015358218
2017-12-29,-0.032301,0.01657039,0.009400154,0.006055357,0.029058241,-0.001621494,0.006523221,-0.015631914,0.026232731,-0.010747755,-0.032301261
2018-01-02,-0.054577,0.012694401,0.001018545,0.007382456,-0.0102858,0.008685375,0.003228681,-0.00262921,0.016548453,0.024935625,-0.054577101
2018-01-03,0.048051,0.00446603,0.014224085,0.002176703,-0.008324561,0.000904292,-0.003801576,0.004913801,0.025147886,0.028951637,0.048051158
2018-01-04,-0.046358,0.016033295,-0.006440697,0.001900956,0.006210444,0.005909799,0.040202854,0.002868978,-0.01277463,0.015141538,-0.046357947
2018-01-05,0.031858,0.014321625,0.001475869,-0.011185596,0.060754619,0.014672788,0.004232783,-0.005746656,0.004462013,0.016390134,0.031857977
2018-01-08,0.019704,0.004664811,0.005056371,-0.001098048,-0.008118221,-0.012079447,0.026346505,0.000762614,0.004441899,0.015110519,0.019703998
2018-01-09,-0.002873,0.00130036,0.010944085,0.001646552,0.00332092,-0.007197736,0.005730633,-0.005094227,-0.008344871,-0.032549698,-0.002872562
2018-01-10,0.040229,0.017661409,0.005337191,0.002464739,0.009364573,0.00350532,0.024246079,-0.005120457,0.038360602,0.047625868,0.0402286
2018-01-11,-0.056822,0.022093358,0.016375294,-0.00054729,-0.005132144,0.008462257,0.024356681,0.004268654,0.011758895,0.006175735,-0.05682177
